rating,track_1,artist_1,album_1,uri_1,track_2,artist_2,album_2,uri_2,is_pop
0.0,Sweater Weather,The Neighbourhood,,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,Moving in the Dark,Neon Trees,,spotify:track:41aZ4UnmiyfQhPGtlWBah6,
0.0,My Immortal,Evanescence,,spotify:track:4UzVcXufOhGUwF56HT7b8M,Set Fire to the Rain,Adele,,spotify:track:3CKCZ9pfwAfoMZlMncA1Nc,
0.5,A Moment Apart,ODESZA,A Moment Apart,spotify:track:59wlTaYOL5tDUgXnbBQ3my,Higher Ground,ODESZA,A Moment Apart,spotify:track:7KT7VGnPU5QVXN3q1BOeqb,
0.5,Across the Room,ODESZA,A Moment Apart,spotify:track:4YaNLEPw3MrIgkGOkBrAh2,Meridian,ODESZA,A Moment Apart,spotify:track:7t7SLzJtQzD8wdJqwYD3XM,
0.5,La Ciudad,ODESZA,A Moment Apart,spotify:track:4x6aawsLyPkF3aGPXGvbat,Falls,ODESZA,A Moment Apart,spotify:track:6oNZ0WxqptE7V0qpjtyJ4a,
0.5,Falls,ODESZA,A Moment Apart,spotify:track:6oNZ0WxqptE7V0qpjtyJ4a,Show Me,ODESZA,A Moment Apart,spotify:track:5k4MVfklNSMZZHB1jxvKrr,
0.5,Show Me,ODESZA,A Moment Apart,spotify:track:5k4MVfklNSMZZHB1jxvKrr,Intro,ODESZA,A Moment Apart,spotify:track:1aRtduEHwvk2AMR87ji9Tg,
0.5,Mercy / Gatekeeper,Hayley Kiyoko,Expectations,spotify:track:2LNdH3B2gCOw3Uh1jIXG3Z,Expectations (Overture),Hayley Kiyoko,Expectations,spotify:track:7ipLv29x7jjxTJjn64DQ7F,
0.5,Mercy / Gatekeeper,Hayley Kiyoko,Expectations,spotify:track:2LNdH3B2gCOw3Uh1jIXG3Z,Under the Blue / Take Me In,Hayley Kiyoko,Expectations,spotify:track:2ZPJy5zHsMOWSpbcrqQFuF,
0.5,Curious,Hayley Kiyoko,Expectations,spotify:track:5btaVjrLBxTvXNmCv5DrW2,Wanna Be Missed,Hayley Kiyoko,Expectations,spotify:track:3wqPinf9whHeT7y9EApaPM,
0.5,Wanna Be Missed,Hayley Kiyoko,Expectations,spotify:track:3wqPinf9whHeT7y9EApaPM,He'll Never Love You (HNLY),Hayley Kiyoko,Expectations,spotify:track:03PM8jkLPwI6cDcZBvwCSL,
0.5,He'll Never Love You (HNLY),Hayley Kiyoko,Expectations,spotify:track:03PM8jkLPwI6cDcZBvwCSL,Palm Dreams,Hayley Kiyoko,Expectations,spotify:track:3qDaH8tgcdzdpxaL7CyW2s,
0.5,Molecules,Hayley Kiyoko,Expectations,spotify:track:61B0ZJUGohiLnnzCG9lKvR,Let It Be,Hayley Kiyoko,Expectations,spotify:track:181uk7o0ajEG8F1HYrqbxu,
0.5,Give Yourself A Try,The 1975,A Brief Inquiry Into Online Relationships,spotify:track:4rmIfFUZhhi9sS5IYtpkXw,TOOTIMETOOTIMETOOTIME,The 1976,A Brief Inquiry Into Online Relationships,spotify:track:33DzKnwuBE6lfOiADwzd5E,
0.5,Everybody Loves You,Charlotte Lawrence,Everybody Loves You,spotify:track:1mVKWLlNKn7lgasPVhxQjD,Hurt,Sasha Sloan,Hurt,spotify:track:0p1haRZ5xHBNwR9TxMMf8w,
0.5,Human,Daniella Mason, ,spotify:track:0ZMQmuzYluKZETsDjI6BQO,Keep Me Up,Charlotte Lawrence,,spotify:track:53KTMekF8jTKQGtTbo9aR2,
0.5,Keep Me Up,Charlotte Lawrence,,spotify:track:53KTMekF8jTKQGtTbo9aR2,Babe,Carly Paige,,spotify:track:6CpxMQAXyH0lQHGnCWWg3v,
0.5,Babe,Carly Paige,,spotify:track:6CpxMQAXyH0lQHGnCWWg3v,Psychopath,"Charlotte Lawrence, Nina Nesbitt, Sasha Sloan",,spotify:track:3dBE30R12dDxc1jBDaqmo3,
0.5,Psychopath,"Charlotte Lawrence, Nina Nesbitt, Sasha Sloan",,spotify:track:3dBE30R12dDxc1jBDaqmo3,Not a Love Song,bülow,,spotify:track:45iMwUi9OBJlEIsTJ4AStR,
0.5,Rooftop - Acoustic,Clara Mae,Sorry for Writing All the Songs About You,spotify:track:7m34nMTiU0KwhsMSBmUhde,Good Mourning,Halsey,hopeless fountain kingdom,spotify:track:6Ck8Lq4srTWQP1PXZ9P8aZ,
0.5,Bad At Love,Halsey,hopeless fountain kingdom,spotify:track:7y9iMe8SOB6z3NoHE2OfXl,Don't Play,Halsey,hopeless fountain kingdom,spotify:track:7hHTbI9DRg8u9oJ92RQJkw,
0.5,Hopeless,Halsey,hopeless fountain kingdom,spotify:track:0FV5UJ3aGray3oeNBpJ8oc,Don't Pray for Me,Devon Baldwin,Don't Pray for Me,spotify:track:6eGRxdoTk1wrpcU5i0zsSA,
0.5,Weightless,Alice Kristiansen,,spotify:track:40Mlon5ocqGENIR6QRYKou,Worst of You,Maisie Peters,Worst of You,spotify:track:54iSfkh69fxhnSNrgvTEBp,
0.5,Worst of You,Maisie Peters,Worst of You,spotify:track:54iSfkh69fxhnSNrgvTEBp,You and I,LÉON,You and I,spotify:track:54iSfkh69fxhnSNrgvTEBp,
0.5,You and I,LÉON,You and I,spotify:track:54iSfkh69fxhnSNrgvTEBp,Talk To Me,Axel Mansoor,,spotify:track:01y6z52Tiw2KXgQvWsz7w1,
0.5,Since U Been Gone,Kelly Clarkson,Breakaway,spotify:track:3xrn9i8zhNZsTtcoWgQEAd,Behind These Hazel Eyes,Kelly Clarkson,Breakaway,spotify:track:0AKAxdNkwq9ZxRdW1DN9zW,
0.5,Breakaway,Kelly Clarkson,Breakaway,spotify:track:61Qhe2mHSLhUE04QeK4lkD,Where Is Your Heart,Kelly Clarkson,Breakaway,spotify:track:4WMLLrgrDyjyoMinuvnxsm,
0.5,Where Is Your Heart,Kelly Clarkson,Breakaway,spotify:track:4WMLLrgrDyjyoMinuvnxsm,Hear Me,Kelly Clarkson,Breakaway,spotify:track:7Egfyy8U2dj5458iDESXuz,
0.5,Lost in Los Angeles,Love You Later,,spotify:track:2qRLOvYqp2s9EnI3LfzqiF,Lost Myself,Apollos,,spotify:track:0wBUHmaeihAuTWPbN3Y6Rc,
0.5,Bad Blood,Taylor Swift,1989,spotify:track:0yN4fNzmVnmgC0dsOoi9Wh,Hands To Myself,Selena Gomez,Revival,spotify:track:1LoriJC05IrHIDwj3q0KC1,
0.5,Cake By the Ocean,DNCE,,spotify:track:76hfruVvmfQbw0eYn1nmeC,This is What You Came For,Calvin Harris,This is What You Came For,spotify:track:0azC730Exh71aQlOt9Zj3y,
0.5,River of Tears,Alessia Cara,,spotify:track:5NRl32BO29q8xtWFvOlHZE,New Constellations,Ryn Weaver,The Fool,spotify:track:5lRV6r04uaTKaVfkplfduV,
0.5,I Bruise Easily,Natasha Bedingfield,,spotify:track:5LZNRUci6ZphLNjhnVQgWb,Saltwater ,Geowulf,,spotify:track:1zXpHPdBAUxnOCQqFMFLk3,
0.5,Fine By Me,Andy Grammer,Andy Grammer,spotify:track:7tg0OrYieTMcQmxIczNMqE,Smile,Uncle Kracker,,spotify:track:4ZC8hXXqu2hPcDLw9QTdtQ,
0.5,Boom Clap,Charli XCX,,spotify:track:0PjkFSNBbpfYRYpAG4uuGb,Girls Chase Boys,Ingrid Michaelson,,spotify:track:14sAMwqbuFDSlLKmVBD9MI,
0.5,Closer to Love,Mat Kearney,City of Black & White,spotify:track:09b5vch8cDyMN8vYA2lEwk,Apologize,OneRepublic,,spotify:track:1NrJYpdAi7uosDRPmSYrsG,
0.5,U + Ur Hand,P!nk,,spotify:track:7aBVQ8dcHytEddV0SlDrcQ,I Do Not Hook Up,Kelly Clarkson,,spotify:track:2I5CPUnMIKjEXeg61OI9uV,
0.5,Best Day of My Life,American Authors,,spotify:track:5Hroj5K7vLpIG4FNCRIjbP,Here's to Never Growing Up,Avril Lavigne,,spotify:track:1rdreHH1v6kyrx2mFQvLR4,
0.5,Girlfriend,Avril Lavigne,,spotify:track:5HbCnVLXRyZVxnreOPgJCK,Raise Your Glass,P!nk,,spotify:track:2sOqwZMlI3pFzvkDj7owRo,
0.5,Chasing the Sun,Sara Bareilles,,spotify:track:6lzlRAp5VqLLF78PwnfHjq,Air I Breathe,Mat Kearney,,spotify:track:11sV5RZfZ4FEKz0TeFnvN6,
0.5,"thank u, next",Ariana Grande,,spotify:track:2rPE9A1vEgShuZxxzR2tZH,Nobody,Mitski,,spotify:track:6bTn1ovliI0OkjUNkiMBJq,
0.5,Big Plans,Why Don't We,,spotify:track:6Yx181fZzA0YE2EkUsYruq,Without Me,Halsey,,spotify:track:5p7ujcrUXASCNwRaWNHR1C,
